regulator_id,regulator,jurisdiction,region,domain,posture,key_framework,source_label,canonical_url,implications,source_tag,verification_status
REG-OECD,OECD,Global,Global,Cross-sector (policy),AI-specific,OECD AI Principles,OECD AI Principles,https://oecd.ai/en/ai-principles,"Widely used baseline for trustworthy AI (robustness, transparency, accountability, human-centred values); cross-border policy anchor for enterprise AI governance.",bis,verified
REG-FSB,FSB,Global,Global,Financial stability,AI-specific,Sound Practices for Responsible Adoption of AI; Financial Stability Implications of AI,FSB AI page,https://www.fsb.org/work-of-the-fsb/financial-innovation-and-structural-change/artificial-intelligence/,"Pushes institution-wide AI governance across the AI lifecycle, board/senior-management focus, third-party/vendor dependence, and financial-stability vulnerabilities.",capco,verified
REG-BCBS,BCBS / BIS,Global,Global,Banking (prudential),Technology-neutral,"BIS/FSI work on regulating AI in finance; BCBS work on AI/ML, model risk, operational resilience, third-party risk",BIS FSI Insights 63,https://www.bis.org/,"Treats AI as an extension of prudential governance and model risk management - explainability, validation, data governance, accountability in core banking use cases.",bis,verified
REG-IOSCO,IOSCO,Global,Global,Securities,Technology-neutral,Work on AI in capital markets and conduct/market-integrity implications,IOSCO AI search,https://www.iosco.org/,"Relevant for broker-dealers, exchanges, asset managers using AI in advice, surveillance, market-abuse detection, investor comms; expect conduct, transparency, market-integrity controls.",bis,verified
REG-IAIS,IAIS,Global,Global,Insurance,Technology-neutral,"Insurance supervisory work applying AI governance, model and consumer-protection expectations",IAIS publications,https://www.iaisweb.org/,"Important for bancassurance/insurance affiliates - underwriting fairness, explainability, governance, customer outcomes.",bis,verified
REG-FATF,FATF,Global,Global,AML/CFT,Technology-neutral,AI use in AML/CFT under risk-based compliance frameworks,FATF,https://www.fatf-gafi.org/,"Supports AI-enabled surveillance and fraud detection but requires explainable controls, data quality, and oversight where AI influences suspicious-activity monitoring.",bis,verified
REG-EU,"European Union / ESAs (ESMA, EBA, EIOPA)",EU,Europe,Cross-sector financial,AI-specific,EU AI Act (Reg. (EU) 2024/1689) plus sectoral financial rules,EU AI Act portal,https://artificialintelligenceact.eu/,"High-risk AI use cases require stronger controls on data governance, human oversight, logging, monitoring, documentation; map use cases against both AI Act and sector rules.",bis,verified
REG-ECB,ECB / SSM,Euro area,Europe,Banking (prudential),Technology-neutral,"Existing prudential governance, model risk, outsourcing, operational resilience applied to AI",ECB banking supervision,https://www.bankingsupervision.europa.eu/,"Significant institutions should expect AI reviewed through governance, internal controls, and model-risk lenses rather than as a standalone carve-out.",bis,verified
REG-FCA,FCA,UK,Europe,Conduct,Technology-neutral,"AI Update (2024); existing rules apply (Consumer Duty, SM&CR, operational resilience); sandbox/innovation pathways",FCA AI and innovation,https://www.fca.org.uk/,"Firms remain accountable under conduct, Consumer Duty, operational resilience and SM&CR-style governance even when using third-party or embedded AI tools.",bis,verified
REG-PRA,PRA / Bank of England,UK,Europe,Banking (prudential),Technology-neutral,SS1/23 Model Risk Management Principles and operational resilience applied to AI/ML,Bank of England AI,https://www.bankofengland.co.uk/prudential-regulation,"Prudentially important firms should classify many AI systems as model-risk-bearing, requiring validation, controls, clear ownership.",bis,verified
REG-ICO,ICO,UK,Europe,Data protection,Hybrid,AI and data protection guidance,ICO AI guidance,https://ico.org.uk/,"Any AI using personal data needs lawful basis, transparency, minimisation, and governance around automated decision-making and fairness.",bis,verified
REG-FED,Federal Reserve / OCC / FDIC,US,North America,Banking (prudential),Technology-neutral,SR 26-2 (Apr 2026) Model Risk Management - supersedes SR 11-7; safety-and-soundness expectations extended to AI/ML,Fed SR 26-2,https://www.federalreserve.gov/supervisionreg/srletters/sr2602.htm,"Treat AI systems used for material decisions as governed models requiring validation, change management, bias review, vendor oversight. SR 26-2 explicitly extends MRM discipline to AI/ML.",bis,verified
REG-SEC,SEC,US,North America,Securities,Hybrid,Guidance on AI in investment advice / broker-dealer activity; Predictive Data Analytics proposal; AI-washing enforcement focus,SEC PDA proposal statement,https://www.sec.gov/,Broker-dealers/advisers may need to identify and neutralise AI-related conflicts in investor interactions; AI marketing claims must be supportable.,sec,verified
REG-FINRA,FINRA,US,North America,Securities (SRO),Technology-neutral,AI topic hub; Regulatory Notice 24-09; guidance on AI in customer-facing communications,FINRA AI,https://www.finra.org/rules-guidance/key-topics/artificial-intelligence,"Treats AI as subject to existing technology-neutral rules - communications, supervision, surveillance, suitability-style processes, third-party tools.",finra,verified
REG-CFPB,CFPB,US,North America,Consumer finance,Technology-neutral,Existing consumer financial protection and automated-decisioning scrutiny,CFPB,https://www.consumerfinance.gov/,"AI affecting retail credit, servicing or chatbots can trigger UDAAP, adverse-action, fair-lending and transparency concerns.",bis,verified
REG-FTC,FTC,US,North America,Cross-sector conduct,Technology-neutral,"Unfair/deceptive practices, automated decision-making, AI claims",FTC AI,https://www.ftc.gov/,"AI claims, explainability, fairness and deceptive product statements create enforcement exposure, especially for client-facing features and marketing.",sec,verified
REG-NIST,NIST,US,North America,Cross-sector (standards),AI-specific,"AI Risk Management Framework (AI RMF 1.0, Jan 2023)",NIST AI RMF,https://www.nist.gov/itl/ai-risk-management-framework,"Not a financial regulator but a strong control taxonomy for mapping policy, testing, monitoring and governance requirements into an enterprise framework.",capco,verified
REG-MAS,MAS,Singapore,Asia-Pacific,Cross-sector financial,AI-specific,"FEAT principles; Veritas methodology; AI Risk Management Guidelines (consultation Nov 2025, finalisation expected 2026); AI Verify; Notice FSM-N20",MAS AI and data analytics,https://www.mas.gov.sg/,"Strong benchmark for fairness, ethics, accountability, transparency in financial AI; more prescriptive than UK/AU; mandatory inventory and lifecycle controls proposed.",bis,verified
REG-HKMA,HKMA,Hong Kong,Asia-Pacific,Banking,Technology-neutral,High-level AI principles; consumer protection / regtech / supervisory expectations,HKMA,https://www.hkma.gov.hk/,"Important for chatbot, regtech, fraud and operational AI deployments; emphasis on governance and implementation discipline.",bis,verified
REG-SFC,SFC Hong Kong,Hong Kong,Asia-Pacific,Securities,Technology-neutral,Existing conduct and algorithmic controls applied to AI in markets; GenAI language-model circular,SFC Hong Kong,https://www.sfc.hk/,"Securities firms should expect AI oversight in trading, client communications, surveillance and outsourcing governance.",bis,verified
